Player,Squad,Comp,Pos,Min,Gls,Ast,Goal_Contributions_per_90
Omar Marmoush,Eint Frankfurt,de Bundesliga,FW,1448,15,9,1.4917127071823204
Ousmane Dembélé,Paris S-G,fr Ligue 1,FW,1730,21,6,1.4046242774566473
Harry Kane,Bayern Munich,de Bundesliga,FW,2381,26,9,1.3229735405291896
Ferrán Torres,Barcelona,es La Liga,"FW,MF",1106,10,6,1.301989150090416
Alexander Sørloth,Atlético Madrid,es La Liga,FW,1566,20,2,1.264367816091954
Mohamed Salah,Liverpool,eng Premier League,FW,3371,29,18,1.2548205280332243
Mateo Retegui,Atalanta,it Serie A,FW,2383,25,8,1.2463281577843055
Patrik Schick,Leverkusen,de Bundesliga,FW,1684,21,0,1.1223277909738718
Amine Gouiri,Marseille,fr Ligue 1,"FW,MF",1048,10,3,1.116412213740458
Mika Biereth,Monaco,fr Ligue 1,FW,1228,13,2,1.0993485342019544
