Player,Squad,Comp,Pos,Min,Progressive_Actions_per_90
Jeremy Doku,Manchester City,eng Premier League,"FW,MF",1516,16.74142480211082
Dani Ceballos,Real Madrid,es La Liga,MF,1215,14.22222222222222
Pedri,Barcelona,es La Liga,MF,2879,14.12990621743661
Rayan Cherki,Lyon,fr Ligue 1,"FW,MF",2041,13.75796178343949
Ousmane Dembélé,Paris S-G,fr Ligue 1,FW,1730,13.734104046242775
Martin Ødegaard,Arsenal,eng Premier League,MF,2325,13.548387096774194
Rodrigo De Paul,Atlético Madrid,es La Liga,MF,2106,13.504273504273504
Luka Modrić,Real Madrid,es La Liga,MF,1827,13.30049261083744
Joshua Kimmich,Bayern Munich,de Bundesliga,MF,2847,13.055848261327714
Thiago Almada,Lyon,fr Ligue 1,"MF,FW",951,12.77602523659306
