Player,Squad,Comp,Pos,Min,Gls,Ast,xG,G-xG
Kylian Mbappé,Real Madrid,es La Liga,FW,2907,31,3,25.9,5.1
Mohamed Salah,Liverpool,eng Premier League,FW,3371,29,18,25.2,3.8
Robert Lewandowski,Barcelona,es La Liga,FW,2667,27,2,27.1,-0.1
Harry Kane,Bayern Munich,de Bundesliga,FW,2381,26,9,20.3,5.7
Mateo Retegui,Atalanta,it Serie A,FW,2383,25,8,18.9,6.1
Alexander Isak,Newcastle Utd,eng Premier League,FW,2756,23,6,20.3,2.7
Erling Haaland,Manchester City,eng Premier League,FW,2736,22,3,22.0,0.0
Serhou Guirassy,Dortmund,de Bundesliga,FW,2598,21,4,22.7,-1.7
Patrik Schick,Leverkusen,de Bundesliga,FW,1684,21,0,12.7,8.3
Ante Budimir,Osasuna,es La Liga,FW,2952,21,4,18.3,2.7
