Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,xG,npxG,xAG,Sh,SoT,SoT%,G/Sh,G/SoT,G-xG,Cmp%,KP,PrgP,PrgC,Tkl,TklW,Int,Clr,Touches,Carries,Succ%,Recov
Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24,3,1,86,1.0,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,79.4,0,8,1,2,2,1,0,73,41,0.0,7
Max Aarons,eng ENG,"DF,MF",Valencia,es La Liga,24,4,1,120,1.3,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,71.2,1,6,0,4,4,0,3,85,46,25.0,7
Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21,1,1,65,0.7,0,0,0,0.1,0.1,0.0,1,0,0.0,0.0,,-0.1,58.6,0,2,3,3,2,1,0,36,13,100.0,2
James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,20,6,0,88,1.0,0,0,0,0.1,0.1,0.0,1,0,0.0,0.0,,-0.1,78.3,0,4,3,4,2,1,3,65,29,,7
Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18,1,0,3,0.0,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,100.0,0,0,1,1,1,0,0,4,1,,0
Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,36,16,11,1033,11.5,0,0,0,0.2,0.2,0.1,2,1,50.0,0.0,0.0,-0.2,86.7,2,22,4,17,11,14,57,641,322,42.9,42
Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,24,32,32,2842,31.6,6,1,7,6.4,3.2,3.2,35,8,22.9,0.09,0.38,-0.4,82.1,39,207,107,48,32,26,28,1993,1183,47.1,193
Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25,12,10,855,9.5,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,90.4,0,52,6,21,14,15,56,635,342,25.0,50
Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,30,25,17,1393,15.5,5,2,7,4.3,4.3,1.9,29,11,37.9,0.17,0.45,0.7,74.0,20,42,35,43,25,20,37,886,391,41.4,72
Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25,4,2,205,2.3,0,1,1,0.0,0.0,0.2,1,0,0.0,0.0,,0.0,86.8,2,9,6,3,2,2,0,157,90,37.5,3
Abel,es ESP,DF,Osasuna,es La Liga,23,35,20,2074,23.0,2,0,2,0.5,0.5,1.0,12,4,33.3,0.17,0.5,1.5,72.5,16,77,50,61,37,18,64,1322,605,51.4,106
Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,21,7,4,263,2.9,0,0,0,0.0,0.0,0.0,2,0,0.0,0.0,,0.0,59.0,1,6,2,6,4,0,5,87,34,66.7,8
Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28,1,0,7,0.1,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,100.0,0,0,0,0,0,0,0,2,0,,0
Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21,34,33,2768,30.8,9,2,11,8.5,7.7,3.8,73,26,35.6,0.11,0.31,0.5,65.2,27,48,75,11,5,4,36,878,587,40.7,83
Abner,br BRA,DF,Lyon,fr Ligue 1,24,19,12,1090,12.1,1,1,2,0.6,0.6,1.1,7,3,42.9,0.14,0.33,0.4,84.1,11,66,31,29,20,5,41,791,426,50.0,45
Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24,26,22,1901,21.1,7,2,9,10.2,8.6,1.6,62,26,41.9,0.1,0.23,-3.2,63.3,12,22,34,22,13,6,9,613,375,30.2,61
Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25,29,29,2463,27.4,0,1,1,0.9,0.9,0.3,12,1,8.3,0.0,0.0,-0.9,76.6,8,79,16,36,23,39,146,1251,632,75.0,87
Tammy Abraham,eng ENG,FW,Roma,it Serie A,26,1,0,1,0.0,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,33.3,0,1,0,0,0,0,0,4,3,,0
Tammy Abraham,eng ENG,FW,Milan,it Serie A,26,28,12,1183,13.1,3,4,7,7.1,5.4,2.2,26,11,42.3,0.08,0.18,-4.1,68.8,14,26,8,17,11,2,16,367,158,28.6,12
Federico Accornero,it ITA,MF,Genoa,it Serie A,20,1,0,5,0.1,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,66.7,0,0,0,0,0,0,0,8,5,,1
Francesco Acerbi,it ITA,DF,Inter,it Serie A,36,23,20,1710,19.0,0,1,1,0.4,0.4,0.6,5,1,20.0,0.0,0.0,-0.4,92.5,9,62,19,23,19,26,81,1484,915,75.0,62
Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,18,4,2,170,1.9,0,0,0,0.2,0.2,0.0,2,0,0.0,0.0,,-0.2,83.9,0,8,0,2,1,1,2,137,106,50.0,7
Akor Adams,ng NGA,FW,Sevilla,es La Liga,24,4,1,134,1.5,0,0,0,0.4,0.4,0.0,2,1,50.0,0.0,0.0,-0.4,74.1,0,5,0,0,0,0,1,34,5,100.0,4
Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,24,15,13,1075,11.9,3,1,4,4.3,4.3,1.0,26,12,46.2,0.12,0.25,-1.3,62.6,12,6,11,4,3,1,5,251,126,50.0,24
Che Adams,sct SCO,FW,Torino,it Serie A,28,36,30,2652,29.5,9,3,12,9.0,8.2,2.0,63,25,39.7,0.14,0.36,0.0,74.3,26,40,23,12,6,2,18,802,509,29.7,50
Tyler Adams,us USA,MF,Bournemouth,eng Premier League,25,28,21,1965,21.8,0,3,3,1.6,1.6,1.0,9,2,22.2,0.0,0.0,-1.6,84.4,18,76,14,83,50,32,42,1337,663,22.2,114
Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23,25,19,1545,17.2,2,2,4,5.5,5.5,2.4,36,11,30.6,0.06,0.18,-3.5,63.5,17,14,8,9,3,12,20,534,275,34.5,52
Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,26,22,15,1409,15.7,1,1,2,0.9,0.9,0.2,13,2,15.4,0.08,0.5,0.1,91.1,1,42,5,17,13,11,80,1330,777,66.7,41
Martin Adeline,fr FRA,MF,Reims,fr Ligue 1,20,1,0,26,0.3,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,80.0,0,0,1,1,1,0,2,14,6,,0
Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,22,25,17,1433,15.9,7,6,13,5.5,5.5,6.0,46,18,39.1,0.15,0.39,1.5,74.3,28,28,68,20,14,7,5,636,417,42.6,48
Simon Adingra,ci CIV,"FW,MF",Brighton,eng Premier League,22,29,12,1097,12.2,2,2,4,2.5,2.5,2.5,33,8,24.2,0.06,0.25,-0.5,75.9,16,18,50,23,14,8,6,548,366,42.0,47
Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,24,20,6,766,8.5,2,0,2,2.7,2.7,0.7,20,7,35.0,0.1,0.29,-0.7,74.2,11,24,37,15,9,0,4,468,248,46.9,30
