Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,xG,npxG,xAG,Sh,SoT,SoT%,G/Sh,G/SoT,G-xG,Cmp%,KP,PrgP,PrgC,Tkl,TklW,Int,Clr,Touches,Carries,Succ%,Recov,Goals_per_90,Assists_per_90,Goal_Contributions_per_90,xG_per_90,xAG_per_90,Shots_per_90,Shots_on_Target_per_90,Key_Passes_per_90,Progressive_Actions_per_90,Tackles_per_90,Interceptions_per_90,Recoveries_per_90,Clearances_per_90
Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24,3,1,86,1.0,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,79.4,0,8,1,2,2,1,0,73,41,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.418604651162791,2.0930232558139537,1.0465116279069768,7.325581395348838,0.0
Max Aarons,eng ENG,"DF,MF",Valencia,es La Liga,24,4,1,120,1.3,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,71.2,1,6,0,4,4,0,3,85,46,25.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,4.5,3.0,0.0,5.25,2.25
Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21,1,1,65,0.7,0,0,0,0.1,0.1,0.0,1,0,0.0,0.0,,-0.1,58.6,0,2,3,3,2,1,0,36,13,100.0,2,0.0,0.0,0.0,0.13846153846153847,0.0,1.3846153846153846,0.0,0.0,6.923076923076923,4.153846153846154,1.3846153846153846,2.769230769230769,0.0
James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,20,6,0,88,1.0,0,0,0,0.1,0.1,0.0,1,0,0.0,0.0,,-0.1,78.3,0,4,3,4,2,1,3,65,29,,7,0.0,0.0,0.0,0.10227272727272729,0.0,1.0227272727272727,0.0,0.0,7.159090909090909,4.090909090909091,1.0227272727272727,7.159090909090909,3.068181818181818
Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18,1,0,3,0.0,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,100.0,0,0,1,1,1,0,0,4,1,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0
Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,36,16,11,1033,11.5,0,0,0,0.2,0.2,0.1,2,1,50.0,0.0,0.0,-0.2,86.7,2,22,4,17,11,14,57,641,322,42.9,42,0.0,0.0,0.0,0.017424975798644726,0.008712487899322363,0.17424975798644723,0.08712487899322362,0.17424975798644723,2.265246853823814,1.4811229428848014,1.2197483059051306,3.6592449177153923,4.966118102613746
Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,24,32,32,2842,31.6,6,1,7,6.4,3.2,3.2,35,8,22.9,0.09,0.38,-0.4,82.1,39,207,107,48,32,26,28,1993,1183,47.1,193,0.1900070372976777,0.03166783954961295,0.22167487684729065,0.2026741731175229,0.10133708655876145,1.1083743842364533,0.2533427163969036,1.235045742434905,9.943701618578466,1.5200562983814216,0.8233638282899367,6.111893033075299,0.8866995073891626
Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25,12,10,855,9.5,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,90.4,0,52,6,21,14,15,56,635,342,25.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.105263157894736,2.210526315789474,1.5789473684210527,5.263157894736842,5.894736842105264
Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,30,25,17,1393,15.5,5,2,7,4.3,4.3,1.9,29,11,37.9,0.17,0.45,0.7,74.0,20,42,35,43,25,20,37,886,391,41.4,72,0.32304379038047376,0.12921751615218952,0.45226130653266333,0.27781765972720746,0.12275664034458005,1.8736539842067481,0.7106963388370423,1.292175161521895,4.974874371859297,2.7781765972720747,1.292175161521895,4.651830581478823,2.3905240488155064
Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25,4,2,205,2.3,0,1,1,0.0,0.0,0.2,1,0,0.0,0.0,,0.0,86.8,2,9,6,3,2,2,0,157,90,37.5,3,0.0,0.43902439024390244,0.43902439024390244,0.0,0.0878048780487805,0.43902439024390244,0.0,0.8780487804878049,6.585365853658536,1.3170731707317074,0.8780487804878049,1.3170731707317074,0.0
Abel,es ESP,DF,Osasuna,es La Liga,23,35,20,2074,23.0,2,0,2,0.5,0.5,1.0,12,4,33.3,0.17,0.5,1.5,72.5,16,77,50,61,37,18,64,1322,605,51.4,106,0.08678881388621022,0.0,0.08678881388621022,0.021697203471552556,0.04339440694310511,0.5207328833172614,0.17357762777242045,0.6943105110896818,5.511089681774349,2.6470588235294117,0.781099324975892,4.599807135969142,2.777242044358727
Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,21,7,4,263,2.9,0,0,0,0.0,0.0,0.0,2,0,0.0,0.0,,0.0,59.0,1,6,2,6,4,0,5,87,34,66.7,8,0.0,0.0,0.0,0.0,0.0,0.6844106463878327,0.0,0.34220532319391633,2.7376425855513307,2.0532319391634983,0.0,2.7376425855513307,1.7110266159695817
Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28,1,0,7,0.1,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,100.0,0,0,0,0,0,0,0,2,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21,34,33,2768,30.8,9,2,11,8.5,7.7,3.8,73,26,35.6,0.11,0.31,0.5,65.2,27,48,75,11,5,4,36,878,587,40.7,83,0.29263005780346824,0.06502890173410404,0.3576589595375722,0.2763728323699422,0.12355491329479769,2.373554913294798,0.8453757225433527,0.8778901734104047,3.999277456647399,0.3576589595375722,0.13005780346820808,2.6986994219653178,1.170520231213873
Abner,br BRA,DF,Lyon,fr Ligue 1,24,19,12,1090,12.1,1,1,2,0.6,0.6,1.1,7,3,42.9,0.14,0.33,0.4,84.1,11,66,31,29,20,5,41,791,426,50.0,45,0.08256880733944955,0.08256880733944955,0.1651376146788991,0.04954128440366972,0.09082568807339451,0.5779816513761469,0.24770642201834864,0.9082568807339451,8.009174311926605,2.3944954128440368,0.41284403669724773,3.7155963302752295,3.3853211009174315
Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24,26,22,1901,21.1,7,2,9,10.2,8.6,1.6,62,26,41.9,0.1,0.23,-3.2,63.3,12,22,34,22,13,6,9,613,375,30.2,61,0.33140452393477116,0.09468700683850605,0.4260915307732772,0.48290373487638083,0.07574960547080485,2.9352972119936873,1.2309310889005787,0.5681220410310363,2.6512361914781692,1.0415570752235666,0.2840610205155181,2.8879537085744347,0.4260915307732772
Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25,29,29,2463,27.4,0,1,1,0.9,0.9,0.3,12,1,8.3,0.0,0.0,-0.9,76.6,8,79,16,36,23,39,146,1251,632,75.0,87,0.0,0.03654080389768575,0.03654080389768575,0.03288672350791717,0.010962241169305723,0.43848964677222896,0.03654080389768575,0.292326431181486,3.471376370280146,1.3154689403166868,1.4250913520097441,3.1790499390986597,5.33495736906212
Tammy Abraham,eng ENG,FW,Roma,it Serie A,26,1,0,1,0.0,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,33.3,0,1,0,0,0,0,0,4,3,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0
Tammy Abraham,eng ENG,FW,Milan,it Serie A,26,28,12,1183,13.1,3,4,7,7.1,5.4,2.2,26,11,42.3,0.08,0.18,-4.1,68.8,14,26,8,17,11,2,16,367,158,28.6,12,0.22823330515638207,0.3043110735418428,0.5325443786982248,0.540152155536771,0.16737109044801354,1.978021978021978,0.8368554522400676,1.0650887573964496,2.5866441251056633,1.2933220625528317,0.1521555367709214,0.9129332206255283,1.2172442941673711
Federico Accornero,it ITA,MF,Genoa,it Serie A,20,1,0,5,0.1,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,66.7,0,0,0,0,0,0,0,8,5,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0
